node_id,P,Q,I
154,0.108177,0.007380,617.775085
130,0.081300,0.003450,459.000000
133,0.044914,0.001943,260.571442
179,0.021200,0.007000,138.000000
152,0.171710,0.011714,980.595337
149,0.029341,0.005055,176.923080
186,0.017171,0.001171,98.059532
118,0.023473,0.004044,141.538467
184,0.003800,0.004300,26.000000
183,0.017171,0.001171,98.059532
182,0.048200,0.010800,314.000000
157,0.056143,0.002429,325.714294
187,0.017171,0.001171,98.059532
135,0.081300,0.003450,459.000000
159,0.022080,0.012880,136.000000
147,0.056143,0.002429,325.714294
129,0.000600,0.000120,0.800000
116,0.109800,0.028500,619.500000
185,0.000064,0.000000,0.240000
146,0.037556,0.006470,226.461533
123,0.029341,0.005055,176.923080
396,0.042437,0.001622,239.439346
403,0.033154,0.001267,187.061996
393,0.026523,0.001013,149.649597
390,0.042437,0.001622,239.439346
401,0.042437,0.001622,239.439346
404,0.026523,0.001013,149.649597
402,0.042437,0.001622,239.439346
397,0.042437,0.001622,239.439346
400,0.042437,0.001622,239.439346
394,0.033154,0.001267,187.061996
391,0.033154,0.001267,187.061996
392,0.042437,0.001622,239.439346
395,0.127200,-0.027000,858.000000
399,0.042437,0.001622,239.439346
317,0.135750,0.037650,853.500000
338,-0.031350,0.028950,-222.000000
352,0.013798,0.003015,89.282211
350,0.026933,-0.000267,144.000000
351,0.026933,-0.000267,144.000000
332,0.043211,-0.003633,241.177917
329,0.012300,0.000750,67.500000
343,0.013798,0.003015,89.282211
345,0.021902,0.004785,141.717789
310,0.029200,-0.000300,170.000000
348,0.026933,-0.000267,144.000000
325,0.277200,0.019200,1564.000000
344,0.021902,0.004785,141.717789
340,0.012300,0.000750,67.500000
319,0.068589,-0.005767,382.822083
346,0.006000,-0.002000,52.000000
