EdgeNo,F-Node,T-Node,r,x,b,Switch,SwitchState,maxAmp,type
1605,0,14,0,0,0,Y,1,0,刀闸
1747,1,14,0,0,0,Y,1,0,断路器
3182,2,15,0,0,0,Y,0,0,断路器
3203,2,16,0,0,0,Y,1,0,断路器
3205,2,17,0,0,0,Y,1,0,断路器
3453,2,18,0,0,0,Y,1,0,刀闸
3569,2,19,0,0,0,Y,1,0,断路器
24235,3,9,0.04622,0.10400,0.00000,N,-1,441,交流线
24236,1,6,0.05206,0.11714,0.00000,N,-1,441,交流线
24237,4,10,0.02565,0.05771,0.00000,N,-1,441,交流线
24238,5,8,0.00292,0.00657,0.00000,N,-1,441,交流线
24239,6,5,0.02997,0.06743,0.00000,N,-1,441,交流线
24240,7,3,0.02375,0.05343,0.00000,N,-1,441,交流线
24241,8,4,0.04432,0.09971,0.00000,N,-1,441,交流线
24242,9,16,0.04038,0.09086,0.00000,N,-1,441,交流线
24243,10,13,0.00292,0.00657,0.00000,N,-1,441,交流线
24244,11,12,0.00292,0.00657,0.00000,N,-1,441,交流线
24245,12,7,0.07670,0.17257,0.00000,N,-1,441,交流线
24246,13,11,0.02743,0.06171,0.00000,N,-1,441,交流线
